respondent_id,h1n1_vaccine,seasonal_vaccine
29668,0.36,0.57
29669,0.09,0.33
29670,0.32,0.37
29671,0.05,0.34
29672,0.12,0.26
29673,0.34,0.46
29674,0.23,0.4
29675,0.37,0.82
29676,0.15,0.39
29677,0.31,1.01
29678,0.14,0.08
29679,0.0,0.02
29680,0.72,0.68
29681,0.04,0.74
29682,0.36,0.23
29683,0.17,0.29
29684,0.23,0.47
29685,0.63,0.31
29686,0.22,0.5
29687,0.35,0.26
29688,0.42,0.76
29689,0.01,0.18
29690,0.51,0.62
29691,0.67,0.56
29692,0.32,0.89
29693,0.27,0.4
29694,0.05,0.1
29695,0.35,0.45
29696,0.01,0.66
29697,0.17,0.25
29698,0.13,0.02
29699,0.33,0.42
29700,0.37,0.18
29701,0.2,0.11
29702,0.18,0.33
29703,0.26,0.62
29704,0.11,0.21
29705,0.27,0.72
29706,0.15,0.34
29707,0.12,0.34
29708,0.46,0.79
29709,0.15,0.26
29710,0.07,0.35
29711,0.19,0.26
29712,0.19,0.37
29713,0.62,0.72
29714,0.24,0.42
29715,0.15,0.88
29716,0.26,0.52
29717,0.19,0.15
29718,0.22,0.29
29719,0.55,0.91
29720,0.65,0.82
29721,0.02,0.24
29722,0.35,0.46
29723,0.0,0.23
29724,0.35,0.44
29725,0.07,0.34
29726,0.04,0.56
29727,0.64,0.57
29728,0.1,0.59
29729,0.11,0.1
29730,0.04,0.11
29731,0.21,0.39
29732,0.19,0.35
29733,0.31,0.57
29734,0.09,0.68
29735,0.32,0.58
29736,0.35,0.7
29737,0.07,0.9
29738,0.09,0.49
29739,0.12,0.25
29740,0.25,0.73
29741,0.32,0.5
29742,0.09,0.02
29743,0.0,0.2
29744,0.08,0.02
29745,0.17,0.28
29746,0.03,0.07
29747,0.24,0.44
29748,0.03,0.17
29749,0.03,0.28
29750,0.14,0.21
29751,0.2,0.23
29752,0.3,0.6
29753,0.33,0.63
29754,0.06,0.89
29755,0.05,0.27
29756,0.78,0.86
29757,0.27,0.57
29758,0.12,0.76
29759,0.21,0.37
29760,0.01,0.14
29761,0.32,0.7
29762,0.15,0.26
29763,0.35,0.45
29764,0.62,0.78
29765,0.0,0.23
29766,0.1,0.32
29767,0.21,0.26
29768,0.33,0.49
29769,0.63,0.73
29770,0.31,0.31
29771,0.57,0.94
29772,0.21,0.85
29773,0.19,0.82
29774,0.22,0.67
29775,0.34,0.68
29776,0.18,0.22
29777,0.24,0.4
29778,0.55,0.71
29779,0.02,0.29
29780,0.29,0.57
29781,0.2,0.28
29782,0.28,0.53
29783,0.17,0.53
29784,0.03,0.17
29785,0.37,0.79
29786,0.15,0.0
29787,0.12,0.58
29788,0.88,1.05
29789,0.62,0.37
29790,0.12,0.29
29791,0.05,0.46
29792,0.79,0.79
29793,0.03,0.36
29794,0.14,0.1
29795,0.18,0.2
29796,0.09,0.1
29797,0.5,0.72
29798,0.18,0.47
29799,0.11,0.32
29800,0.3,0.28
29801,0.54,0.58
29802,0.17,0.52
29803,0.2,0.47
29804,0.63,0.64
29805,0.2,0.43
29806,0.06,0.54
29807,0.73,0.85
29808,0.02,0.14
29809,0.08,0.12
29810,0.23,0.1
29811,0.01,0.05
29812,0.33,0.56
29813,0.07,0.33
29814,0.25,0.45
29815,0.07,0.53
29816,0.18,0.42
29817,0.12,0.37
29818,0.33,0.54
29819,0.3,0.77
29820,0.0,0.4
29821,0.27,0.33
29822,0.16,0.41
29823,0.29,0.52
29824,0.31,0.47
29825,0.1,0.88
29826,0.12,0.42
29827,0.02,0.51
29828,0.49,0.86
29829,0.19,0.41
29830,0.25,0.61
29831,0.19,0.28
29832,0.62,1.0
29833,0.71,0.95
29834,0.04,0.22
29835,0.5,0.72
29836,0.12,0.59
29837,0.04,0.02
29838,0.35,0.63
29839,0.08,0.28
29840,0.15,0.65
29841,0.28,0.47
29842,0.14,0.46
29843,0.22,0.7
29844,0.03,0.25
29845,0.49,0.26
29846,0.17,0.03
29847,0.02,0.17
29848,0.15,0.2
29849,0.21,0.55
29850,0.68,0.83
29851,0.29,0.47
29852,0.12,0.37
29853,0.04,0.22
29854,0.19,0.52
29855,0.4,0.59
29856,0.49,0.47
29857,0.24,0.41
29858,0.42,0.48
29859,0.49,0.71
29860,0.01,0.37
29861,0.21,0.7
29862,0.06,0.38
29863,0.15,0.66
29864,0.72,0.98
29865,0.03,0.13
29866,0.03,0.26
29867,0.24,0.42
29868,0.21,1.13
29869,0.83,1.01
29870,0.08,0.28
29871,0.21,0.66
29872,0.19,0.51
29873,0.04,0.25
29874,0.12,0.76
29875,0.38,0.6
29876,0.06,0.26
29877,0.19,0.65
29878,0.52,0.97
29879,0.53,0.69
29880,0.09,0.73
29881,0.63,0.71
29882,0.4,0.45
29883,0.43,0.54
29884,0.18,0.35
29885,0.14,0.82
29886,0.33,0.59
29887,0.87,0.32
29888,0.02,0.4
29889,0.1,0.19
29890,0.28,0.78
29891,0.12,0.5
29892,0.37,1.0
29893,0.06,0.67
29894,0.05,0.29
29895,0.19,0.13
29896,0.0,0.11
29897,0.04,0.07
29898,0.21,0.29
29899,0.05,0.96
29900,0.57,0.47
29901,0.17,0.76
29902,0.31,0.93
29903,0.09,0.65
29904,0.18,0.45
29905,0.19,0.59
29906,0.38,0.6
29907,0.12,0.71
29908,0.46,0.66
29909,0.2,0.69
29910,0.38,0.74
29911,0.03,0.28
29912,0.36,0.3
29913,0.45,0.3
29914,0.65,0.72
29915,0.01,0.3
29916,0.05,0.05
29917,0.07,0.34
29918,0.49,0.77
29919,0.16,0.33
29920,0.39,0.51
29921,0.31,0.49
29922,0.74,0.84
29923,0.33,0.25
29924,0.34,0.42
29925,0.01,0.38
29926,0.42,0.16
29927,0.55,0.78
29928,0.32,0.62
29929,0.03,0.65
29930,0.13,0.79
29931,0.58,0.73
29932,0.05,0.71
29933,0.03,0.63
29934,0.23,0.88
29935,0.82,1.05
29936,0.11,0.3
29937,0.42,0.26
29938,0.6,0.04
29939,0.2,0.61
29940,0.17,0.37
29941,0.28,0.33
29942,0.58,0.74
29943,0.22,0.43
29944,0.12,0.02
29945,0.29,0.49
29946,0.24,0.69
29947,0.04,0.23
29948,0.15,0.05
29949,0.26,0.5
29950,0.56,0.94
29951,0.32,0.68
29952,0.38,0.77
29953,0.09,0.57
29954,0.06,0.15
29955,0.07,0.0
29956,0.45,0.08
29957,0.18,0.34
29958,0.44,0.58
29959,0.09,0.01
29960,0.24,0.19
29961,0.15,0.3
29962,0.4,0.84
29963,0.42,0.64
29964,0.07,0.5
29965,0.21,0.34
29966,0.01,0.51
29967,0.16,0.56
29968,0.07,0.59
29969,0.48,0.66
29970,0.12,0.56
29971,0.21,0.34
29972,0.06,0.0
29973,0.05,0.11
29974,0.58,0.25
29975,0.12,0.3
29976,0.05,0.79
29977,0.1,0.03
29978,0.22,0.35
29979,0.0,0.7
29980,0.27,0.62
29981,0.27,0.46
29982,0.06,0.36
29983,0.21,0.41
29984,0.13,0.15
29985,0.02,0.69
29986,0.84,1.06
29987,0.01,0.25
29988,0.4,0.59
29989,0.06,0.11
29990,0.14,0.34
29991,0.01,0.14
29992,0.15,0.12
29993,0.22,0.28
29994,0.23,0.4
29995,0.02,0.21
29996,0.05,0.54
29997,0.51,0.83
29998,0.01,0.09
29999,0.43,0.68
30000,0.14,0.03
30001,0.22,0.31
30002,0.44,0.76
30003,0.56,0.93
30004,0.27,0.79
30005,0.31,0.73
30006,0.26,1.04
30007,0.01,0.06
30008,0.12,0.42
30009,0.18,0.26
30010,0.11,0.55
30011,0.16,0.5
30012,0.3,0.65
30013,0.08,0.1
30014,0.19,0.59
30015,0.05,0.41
30016,0.08,0.36
30017,0.34,0.52
30018,0.1,0.7
30019,0.22,0.45
30020,0.05,0.22
30021,0.24,0.43
30022,0.03,0.33
30023,0.17,0.6
30024,0.21,0.7
30025,0.0,0.17
30026,0.42,0.54
30027,0.27,0.2
30028,0.44,0.51
30029,0.22,0.33
30030,0.04,0.14
30031,0.19,0.32
30032,0.0,0.18
30033,0.0,0.23
30034,0.26,0.56
30035,0.16,0.39
30036,0.04,0.06
30037,0.29,0.87
30038,0.12,0.41
30039,0.25,0.57
30040,0.01,0.01
30041,0.11,0.28
30042,0.15,0.75
30043,0.15,0.41
30044,0.06,0.05
30045,0.08,0.32
30046,0.2,0.53
30047,0.35,0.49
30048,0.37,0.32
30049,0.14,1.01
30050,0.48,0.83
30051,0.02,0.06
30052,0.32,0.49
30053,0.13,0.3
30054,0.19,0.48
30055,0.27,0.5
30056,0.01,0.08
30057,0.07,0.18
30058,0.46,0.4
30059,0.22,0.41
30060,0.21,0.36
30061,0.15,0.75
30062,0.1,0.55
30063,0.39,0.44
30064,0.18,1.05
30065,0.19,0.35
30066,0.18,0.3
30067,0.27,0.74
30068,0.51,0.27
30069,0.16,0.27
30070,0.0,0.21
30071,0.68,0.86
30072,0.01,0.81
30073,0.22,0.61
30074,0.57,0.89
30075,0.2,0.54
30076,0.01,0.08
30077,0.11,0.7
30078,0.01,0.32
30079,0.18,0.37
30080,0.23,0.8
30081,0.79,0.95
30082,0.05,0.62
30083,0.09,0.04
30084,0.38,0.55
30085,0.01,0.03
30086,0.01,0.02
30087,0.16,0.48
30088,0.11,0.24
30089,0.2,0.23
30090,0.05,0.22
30091,0.8,0.93
30092,0.09,0.03
30093,0.31,0.58
30094,0.04,0.89
30095,0.19,0.35
30096,0.35,0.49
30097,0.44,0.66
30098,0.28,0.42
30099,0.11,0.39
30100,0.2,0.38
30101,0.12,0.16
30102,0.15,0.49
30103,0.23,0.33
30104,0.76,0.73
30105,0.06,0.46
30106,0.44,0.7
30107,0.43,0.74
30108,0.26,0.39
30109,0.05,0.02
30110,0.21,0.97
30111,0.25,0.79
30112,0.24,0.26
30113,0.12,0.76
30114,0.22,0.54
30115,0.66,0.9
30116,0.26,0.48
30117,0.26,0.33
30118,0.29,0.4
30119,0.22,0.43
30120,0.58,0.89
30121,0.23,0.63
30122,0.02,0.19
30123,0.25,0.32
30124,0.44,0.71
30125,0.33,0.32
30126,0.1,0.37
30127,0.36,0.73
30128,0.66,0.71
30129,0.18,0.78
30130,0.36,0.55
30131,0.06,0.52
30132,0.04,0.2
30133,0.12,0.01
30134,0.07,0.86
30135,0.21,0.5
30136,0.12,0.41
30137,0.17,0.43
30138,0.06,0.45
30139,0.21,0.55
30140,0.06,0.25
30141,0.07,0.23
30142,0.58,0.79
30143,0.03,0.44
30144,0.49,0.81
30145,0.07,0.44
30146,0.11,0.19
30147,0.23,0.65
30148,0.14,0.01
30149,0.08,0.22
30150,0.63,0.91
30151,0.73,1.0
30152,0.3,0.29
30153,0.22,1.02
30154,0.27,1.01
30155,0.55,0.7
30156,0.25,0.65
30157,0.57,0.34
30158,0.59,0.69
30159,0.37,0.39
30160,0.29,0.59
30161,0.12,0.38
30162,0.2,0.45
30163,0.05,0.08
30164,0.84,0.95
30165,0.16,0.27
30166,0.01,0.88
30167,0.04,0.12
30168,0.08,0.02
30169,0.02,0.15
30170,0.57,0.17
30171,0.2,0.07
30172,0.7,0.87
30173,0.11,0.63
30174,0.33,0.64
30175,0.3,0.48
30176,0.06,0.58
30177,0.4,0.76
30178,0.1,0.28
30179,0.07,0.29
30180,0.26,0.42
30181,0.01,0.64
30182,0.67,0.97
30183,0.75,0.92
30184,0.29,0.69
30185,0.07,0.55
30186,0.16,0.36
30187,0.05,0.3
30188,0.45,0.83
30189,0.12,0.11
30190,0.12,0.3
30191,0.05,0.49
30192,0.21,0.08
30193,0.24,0.42
30194,0.02,0.28
30195,0.2,0.47
30196,0.7,0.86
30197,0.41,0.7
30198,0.27,0.69
30199,0.22,0.29
30200,0.41,0.68
30201,0.01,0.32
30202,0.25,0.47
30203,0.52,0.53
30204,0.31,0.48
30205,0.11,0.14
30206,0.42,0.52
30207,0.52,0.76
30208,0.25,0.43
30209,0.12,0.13
30210,0.05,0.66
30211,0.0,0.18
30212,0.07,0.64
30213,0.03,0.72
30214,0.11,0.46
30215,0.23,0.36
30216,0.46,0.6
30217,0.63,0.87
30218,0.03,0.34
30219,0.17,0.72
30220,0.01,0.95
30221,0.25,0.35
30222,0.14,0.09
30223,0.58,0.8
30224,0.05,0.26
30225,0.14,0.07
30226,0.21,0.86
30227,0.19,0.71
30228,0.3,0.38
30229,0.11,0.56
30230,0.22,0.4
30231,0.12,0.48
30232,0.03,0.75
30233,0.04,0.16
30234,0.43,0.65
30235,0.02,0.24
30236,0.31,0.67
30237,0.04,0.64
30238,0.2,0.23
30239,0.22,0.78
30240,0.14,0.85
30241,0.37,0.96
30242,0.31,0.61
30243,0.49,0.76
30244,0.18,0.35
30245,0.12,0.62
30246,0.15,0.92
30247,0.12,0.23
30248,0.59,0.84
30249,0.65,0.9
30250,0.13,0.07
30251,0.21,0.99
30252,0.21,0.46
30253,0.21,0.82
30254,0.21,0.19
30255,0.36,0.18
30256,0.66,0.8
30257,0.08,0.89
30258,0.23,0.28
30259,0.18,0.24
30260,0.43,0.61
30261,0.06,0.66
30262,0.05,0.35
30263,0.05,0.2
30264,0.11,0.27
30265,0.04,0.38
30266,0.2,0.08
30267,0.05,0.17
30268,0.12,0.23
30269,0.04,0.97
30270,0.13,0.8
30271,0.15,0.79
30272,0.14,0.31
30273,0.63,0.36
30274,0.46,0.5
30275,0.02,0.51
30276,0.0,0.02
30277,0.09,0.54
30278,0.19,0.5
30279,0.2,0.63
30280,0.47,0.67
30281,0.09,0.17
30282,0.01,0.16
30283,0.2,0.31
30284,0.14,0.36
30285,0.01,0.7
30286,0.05,0.04
30287,0.08,0.32
30288,0.29,0.39
30289,0.15,0.41
30290,0.13,0.16
30291,0.06,0.21
30292,0.47,0.69
30293,0.13,0.01
30294,0.58,0.66
30295,0.25,0.35
30296,0.45,0.35
30297,0.07,0.22
30298,0.05,0.32
30299,0.24,0.45
30300,0.26,1.09
30301,0.45,0.63
30302,0.26,0.4
30303,0.64,0.43
30304,0.29,0.61
30305,0.08,0.68
30306,0.12,0.75
30307,0.7,1.13
30308,0.27,0.6
30309,0.18,0.82
30310,0.58,0.92
30311,0.08,0.22
30312,0.2,0.56
30313,0.29,0.48
30314,0.03,0.03
30315,0.01,0.14
30316,0.27,0.53
30317,0.14,0.67
30318,0.1,0.44
30319,0.06,0.75
30320,0.42,0.71
30321,0.17,0.11
30322,0.1,0.21
30323,0.44,0.53
30324,0.02,0.08
30325,0.2,0.11
30326,0.06,0.18
30327,0.27,0.98
30328,0.23,0.71
30329,0.06,0.09
30330,0.17,0.31
30331,0.28,0.46
30332,0.11,0.14
30333,0.09,0.12
30334,0.26,0.56
30335,0.3,0.76
30336,0.02,0.3
30337,0.63,1.05
30338,0.23,0.54
30339,0.45,0.62
30340,0.24,0.28
30341,0.36,0.07
30342,0.53,0.69
30343,0.09,0.34
30344,0.64,0.66
30345,0.28,0.08
30346,0.2,0.33
30347,0.2,0.41
30348,0.1,0.25
30349,0.35,0.68
30350,0.52,0.61
30351,0.17,0.16
30352,0.25,0.56
30353,0.43,0.23
30354,0.21,0.31
30355,0.22,0.25
30356,0.11,0.33
30357,0.21,0.35
30358,0.74,1.08
30359,0.25,0.39
30360,0.63,0.95
30361,0.03,0.26
30362,0.34,0.53
30363,0.27,0.42
30364,0.22,0.48
30365,0.01,0.77
30366,0.08,0.33
30367,0.57,0.91
30368,0.02,0.04
30369,0.05,0.24
30370,0.41,0.74
30371,0.27,0.38
30372,0.15,0.17
30373,0.13,0.04
30374,0.44,0.63
30375,0.2,0.37
30376,0.45,0.17
30377,0.2,0.27
30378,0.63,0.8
30379,0.44,0.68
30380,0.27,0.59
30381,0.03,0.22
30382,0.4,0.76
30383,0.39,0.58
30384,0.18,0.47
30385,0.47,0.58
30386,0.42,0.61
30387,0.64,1.09
30388,0.03,0.05
30389,0.4,0.57
30390,0.01,0.31
30391,0.67,1.01
30392,0.57,0.48
30393,0.05,0.16
30394,0.19,0.07
30395,0.01,0.02
30396,0.13,0.2
30397,0.39,0.23
30398,0.64,0.86
30399,0.44,0.33
30400,0.1,0.34
30401,0.02,0.41
30402,0.24,0.75
30403,0.21,0.64
30404,0.23,0.64
30405,0.17,0.15
30406,0.26,0.45
30407,0.14,0.33
30408,0.05,0.27
30409,0.38,0.58
30410,0.3,0.58
30411,0.32,0.73
30412,0.58,0.44
30413,0.15,0.21
30414,0.06,0.06
30415,0.4,0.71
30416,0.01,0.09
30417,0.17,0.34
30418,0.13,0.22
30419,0.07,0.23
30420,0.05,0.45
30421,0.22,0.32
30422,0.12,0.28
30423,0.18,0.86
30424,0.11,0.05
30425,0.77,1.04
30426,0.72,0.99
30427,0.59,0.73
30428,0.21,0.93
30429,0.15,0.67
30430,0.31,0.83
30431,0.0,0.29
30432,0.26,0.55
30433,0.23,0.17
30434,0.09,0.44
30435,0.25,0.39
30436,0.1,0.32
30437,0.61,0.66
30438,0.24,0.49
30439,0.24,0.4
30440,0.48,0.62
30441,0.51,0.59
30442,0.65,0.55
30443,0.02,0.39
30444,0.02,0.12
30445,0.27,0.6
30446,0.05,0.11
30447,0.18,0.9
30448,0.01,0.23
30449,0.12,0.27
30450,0.32,0.58
30451,0.25,0.46
30452,0.25,0.45
30453,0.13,0.21
30454,0.02,0.31
30455,0.59,0.41
30456,0.21,0.45
30457,0.08,0.1
30458,0.25,0.5
30459,0.09,0.15
30460,0.49,0.53
30461,0.13,0.5
30462,0.08,0.22
30463,0.13,0.28
30464,0.59,0.69
30465,0.18,0.56
30466,0.1,0.01
30467,0.11,0.09
30468,0.04,0.12
30469,0.01,0.16
30470,0.01,0.1
30471,0.58,0.76
30472,0.21,0.17
30473,0.21,0.29
30474,0.34,0.59
30475,0.19,0.29
30476,0.26,0.55
30477,0.04,0.29
30478,0.43,0.79
30479,0.89,1.17
30480,0.19,0.51
30481,0.1,0.66
30482,0.17,0.42
30483,0.01,0.26
30484,0.1,0.79
30485,0.03,0.84
30486,0.08,0.67
30487,0.34,0.56
30488,0.35,0.64
30489,0.36,0.28
30490,0.27,0.54
30491,0.22,0.49
30492,0.07,0.44
30493,0.33,0.62
30494,0.05,0.2
30495,0.1,0.39
30496,0.2,0.4
30497,0.12,0.5
30498,0.29,0.41
30499,0.53,0.93
30500,0.04,0.01
30501,0.35,0.75
30502,0.18,0.44
30503,0.31,0.46
30504,0.42,0.58
30505,0.27,0.36
30506,0.07,0.6
30507,0.59,0.39
30508,0.58,0.79
30509,0.23,0.62
30510,0.13,0.27
30511,0.44,0.19
30512,0.02,0.07
30513,0.0,0.36
30514,0.69,0.4
30515,0.32,0.53
30516,0.09,0.3
30517,0.22,0.36
30518,0.18,0.22
30519,0.36,0.68
30520,0.37,0.49
30521,0.13,0.1
30522,0.67,0.72
30523,0.55,0.84
30524,0.06,0.29
30525,0.7,0.9
30526,0.16,0.51
30527,0.6,0.31
30528,0.11,0.68
30529,0.25,0.56
30530,0.17,0.55
30531,0.16,0.48
30532,0.16,0.35
30533,0.19,0.33
30534,0.6,1.1
30535,0.02,0.09
30536,0.52,0.81
30537,0.05,0.46
30538,0.0,0.34
30539,0.31,0.75
30540,0.03,0.4
30541,0.66,0.73
30542,0.54,0.27
30543,0.7,0.97
30544,0.03,0.07
30545,0.08,0.27
30546,0.31,1.15
30547,0.05,0.6
30548,0.17,0.97
30549,0.29,0.68
30550,0.0,0.19
30551,0.14,0.94
30552,0.22,0.89
30553,0.11,0.34
30554,0.27,0.53
30555,0.05,0.16
30556,0.05,0.37
30557,0.08,0.47
30558,0.21,1.0
30559,0.5,0.67
30560,0.08,0.15
30561,0.26,0.47
30562,0.1,0.26
30563,0.32,0.93
30564,0.06,0.63
30565,0.05,0.13
30566,0.42,0.22
30567,0.53,0.86
30568,0.55,0.62
30569,0.11,0.39
30570,0.02,0.29
30571,0.05,0.99
30572,0.03,0.53
30573,0.26,0.55
30574,0.08,0.25
30575,0.21,0.34
30576,0.1,0.13
30577,0.32,0.45
30578,0.27,0.39
30579,0.15,0.27
30580,0.0,0.21
30581,0.12,0.79
30582,0.28,0.46
30583,0.05,0.17
30584,0.05,0.12
30585,0.18,0.97
30586,0.61,0.16
30587,0.56,0.77
30588,0.06,0.36
30589,0.27,0.35
30590,0.01,0.24
30591,0.22,0.48
30592,0.49,0.82
30593,0.12,0.08
30594,0.07,0.25
30595,0.17,0.13
30596,0.18,0.77
30597,0.1,0.27
30598,0.11,0.53
30599,0.13,0.09
30600,0.32,0.18
30601,0.13,0.8
30602,0.05,0.52
30603,0.18,0.41
30604,0.27,0.44
30605,0.21,0.39
30606,0.18,0.32
30607,0.14,0.32
30608,0.03,0.06
30609,0.61,0.88
30610,0.23,0.39
30611,0.08,0.08
30612,0.16,0.23
30613,0.45,0.5
30614,0.53,0.92
30615,0.02,0.33
30616,0.18,0.27
30617,0.29,0.48
30618,0.32,0.58
30619,0.03,0.15
30620,0.22,0.67
30621,0.11,0.42
30622,0.05,0.1
30623,0.05,0.61
30624,0.01,0.69
30625,0.15,0.69
30626,0.16,0.75
30627,0.23,0.55
30628,0.04,0.53
30629,0.03,0.69
30630,0.21,0.24
30631,0.1,0.47
30632,0.21,0.39
30633,0.47,0.95
30634,0.04,0.01
30635,0.09,0.09
30636,0.43,0.41
30637,0.14,0.01
30638,0.37,0.61
30639,0.17,0.28
30640,0.19,0.49
30641,0.19,0.49
30642,0.03,0.17
30643,0.65,0.83
30644,0.09,0.1
30645,0.24,0.42
30646,0.3,0.62
30647,0.84,0.96
30648,0.02,0.56
30649,0.1,0.47
30650,0.14,0.15
30651,0.23,0.71
30652,0.23,0.47
30653,0.47,0.52
30654,0.19,0.55
30655,0.12,0.22
30656,0.04,0.12
30657,0.13,0.13
30658,0.08,0.14
30659,0.21,0.48
30660,0.07,0.27
30661,0.08,0.64
30662,0.25,0.18
30663,0.21,0.48
30664,0.24,0.23
30665,0.22,0.39
30666,0.05,0.16
30667,0.22,0.78
30668,0.14,0.27
30669,0.06,0.26
30670,0.01,0.71
30671,0.09,0.15
30672,0.33,0.62
30673,0.17,0.43
30674,0.1,0.32
30675,0.17,0.34
30676,0.08,0.41
30677,0.35,0.31
30678,0.54,0.71
30679,0.01,0.77
30680,0.73,0.7
30681,0.48,0.68
30682,0.17,0.41
30683,0.31,0.61
30684,0.06,0.12
30685,0.2,0.52
30686,0.55,0.42
30687,0.17,0.2
30688,0.31,0.72
30689,0.25,0.4
30690,0.03,0.73
30691,0.22,0.45
30692,0.28,0.6
30693,0.11,0.13
30694,0.26,0.44
30695,0.62,0.73
30696,0.25,0.3
30697,0.13,0.34
30698,0.06,0.15
30699,0.23,0.38
30700,0.51,0.74
30701,0.6,0.76
30702,0.24,0.93
30703,0.24,1.11
30704,0.17,0.11
30705,0.26,0.34
30706,0.03,0.32
30707,0.29,0.47
30708,0.1,0.15
30709,0.54,0.86
30710,0.74,1.04
30711,0.19,0.33
30712,0.08,0.16
30713,0.65,0.95
30714,0.63,0.65
30715,0.02,0.38
30716,0.12,1.08
30717,0.15,0.42
30718,0.2,0.49
30719,0.09,0.11
30720,0.16,0.34
30721,0.11,0.25
30722,0.15,0.24
30723,0.49,0.91
30724,0.01,0.84
30725,0.08,0.7
30726,0.1,0.11
30727,0.37,0.98
30728,0.72,0.99
30729,0.1,0.0
30730,0.23,0.64
30731,0.83,1.1
30732,0.41,0.55
30733,0.39,0.71
30734,0.22,0.42
30735,0.24,0.91
30736,0.52,0.83
30737,0.07,0.12
30738,0.32,0.08
30739,0.06,0.28
30740,0.22,0.42
30741,0.24,0.42
30742,0.2,0.2
30743,0.03,0.41
30744,0.29,0.39
30745,0.02,0.88
30746,0.5,0.6
30747,0.24,0.3
30748,0.14,0.55
30749,0.1,0.23
30750,0.06,0.15
30751,0.05,0.11
30752,0.39,0.11
30753,0.25,0.81
30754,0.53,0.79
30755,0.26,0.29
30756,0.16,0.47
30757,0.1,0.9
30758,0.06,0.22
30759,0.16,0.84
30760,0.26,0.46
30761,0.83,1.0
30762,0.46,0.69
30763,0.28,0.47
30764,0.15,0.42
30765,0.73,0.89
30766,0.18,0.63
30767,0.11,0.43
30768,0.07,0.28
30769,0.45,0.62
30770,0.06,0.04
30771,0.32,0.7
30772,0.28,1.12
30773,0.19,0.39
30774,0.1,0.18
30775,0.13,0.44
30776,0.05,0.25
30777,0.19,0.48
30778,0.26,0.5
30779,0.18,0.63
30780,0.02,0.23
30781,0.24,0.3
30782,0.13,0.35
30783,0.02,0.19
30784,0.39,0.62
30785,0.66,0.91
30786,0.24,0.39
30787,0.4,0.73
30788,0.49,0.02
30789,0.28,0.45
30790,0.11,0.28
30791,0.11,0.48
30792,0.34,0.71
30793,0.24,0.48
30794,0.09,0.06
30795,0.34,0.44
30796,0.48,0.83
30797,0.09,0.12
30798,0.02,0.13
30799,0.21,0.2
30800,0.47,0.72
30801,0.14,0.06
30802,0.06,0.49
30803,0.11,0.57
30804,0.21,1.01
30805,0.02,0.4
30806,0.29,0.6
30807,0.27,0.42
30808,0.1,0.1
30809,0.03,0.62
30810,0.65,0.14
30811,0.69,0.88
30812,0.17,0.21
30813,0.09,0.58
30814,0.54,0.76
30815,0.05,0.8
30816,0.18,0.46
30817,0.26,0.71
30818,0.23,1.02
30819,0.12,0.67
30820,0.23,0.22
30821,0.05,0.35
30822,0.11,0.7
30823,0.07,0.19
30824,0.55,0.78
30825,0.13,0.32
30826,0.38,0.54
30827,0.59,0.2
30828,0.17,0.02
30829,0.11,0.11
30830,0.35,0.48
30831,0.05,0.33
30832,0.02,0.06
30833,0.24,0.3
30834,0.35,0.25
30835,0.39,0.78
30836,0.01,0.0
30837,0.15,0.54
30838,0.14,0.72
30839,0.17,0.33
30840,0.17,0.55
30841,0.02,0.11
30842,0.07,0.61
30843,0.06,0.29
30844,0.22,0.43
30845,0.34,0.41
30846,0.12,0.18
30847,0.06,0.06
30848,0.12,0.41
30849,0.2,0.18
30850,0.11,0.39
30851,0.4,0.38
30852,0.08,0.24
30853,0.1,0.15
30854,0.17,0.48
30855,0.27,0.52
30856,0.19,0.34
30857,0.09,0.4
30858,0.64,0.65
30859,0.07,0.22
30860,0.07,0.49
30861,0.56,0.33
30862,0.45,0.63
30863,0.14,0.46
30864,0.09,0.17
30865,0.07,0.27
30866,0.11,0.02
30867,0.68,0.85
30868,0.33,0.61
30869,0.06,0.34
30870,0.08,0.53
30871,0.33,0.5
30872,0.01,0.05
30873,0.56,0.81
30874,0.15,0.28
30875,0.14,0.1
30876,0.2,0.37
30877,0.15,0.48
30878,0.13,0.37
30879,0.2,0.29
30880,0.15,0.55
30881,0.29,0.99
30882,0.07,0.27
30883,0.26,0.43
30884,0.05,0.91
30885,0.07,0.41
30886,0.04,0.88
30887,0.03,0.09
30888,0.05,0.39
30889,0.49,0.26
30890,0.63,0.66
30891,0.12,0.62
30892,0.01,0.0
30893,0.35,0.66
30894,0.33,0.24
30895,0.36,0.82
30896,0.31,0.42
30897,0.05,0.39
30898,0.01,0.56
30899,0.19,1.0
30900,0.15,0.36
30901,0.62,0.71
30902,0.19,0.02
30903,0.16,0.34
30904,0.06,0.31
30905,0.36,0.27
30906,0.13,0.42
30907,0.07,0.37
30908,0.15,0.28
30909,0.03,0.4
30910,0.8,0.93
30911,0.19,0.81
30912,0.24,0.6
30913,0.04,0.2
30914,0.12,0.02
30915,0.52,0.73
30916,0.18,0.23
30917,0.38,0.47
30918,0.19,0.48
30919,0.14,0.05
30920,0.03,0.04
30921,0.38,0.42
30922,0.39,0.2
30923,0.05,0.34
30924,0.05,0.02
30925,0.63,0.73
30926,0.66,0.71
30927,0.12,0.37
30928,0.51,0.68
30929,0.18,0.3
30930,0.45,0.64
30931,0.05,0.74
30932,0.28,0.57
30933,0.24,0.42
30934,0.24,0.42
30935,0.21,0.63
30936,0.3,0.05
30937,0.22,0.69
